== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-32__capsule-button__rest-tint-orange calibration native  0.3528  0.3682  0.5306  0.5157  0.4975  0.4653  0.2347  0.2518  0.2401  0.3049  0.4085  0.4243  0.4489  0.1994  0.2222  0.2338  0.2269    2.66     NNE  0.376
checkerboard-64__capsule-button__rest-tint-orange calibration native  0.3587  0.4247  0.0393 -0.0270  0.0447  0.1555  0.2055  0.2208  0.2016  0.3282  0.0384 -0.0272  0.0447  0.1555  0.2055  0.2209  0.2023     inf       N -0.064
impulse__rrect-sm__rest                  calibration native  0.0070  0.0216  0.0028  0.0001  0.0028  0.0165  0.0227  0.0220  0.0221  0.0188  0.0028  0.0001  0.0028  0.0165  0.0226  0.0220  0.0228  278.81     NNW  0.004
impulse__rrect-ml__rest                  calibration native  0.4401  0.2612  0.0595  0.0357  0.0744  0.2496  0.2981  0.3057  0.3047  0.2615  0.0595  0.0368  0.0685  0.2498  0.3014  0.3052  0.3046    8.56      SE  0.117
impulse__rrect-lg__rest                  calibration native  0.4515  0.2575  0.0580  0.0333  0.0673  0.2419  0.2947  0.2961  0.2952  0.2575  0.0580  0.0333  0.0673  0.2419  0.2947  0.2961  0.2952    8.89      SE  0.112
dark-solid__rrect-48__rest               calibration native  0.0110  0.0265  0.0055  0.0014  0.0056  0.0253  0.0331  0.0337  0.0330  0.0266  0.0055  0.0014  0.0055  0.0254  0.0330  0.0333  0.0332   23.86      SE  0.042
dark-solid__rrect-64__rest               calibration native  0.0110  0.0265  0.0054  0.0013  0.0053  0.0252  0.0329  0.0345  0.0327  0.0265  0.0053  0.0012  0.0052  0.0252  0.0330  0.0338  0.0330   28.60      SE  0.035
dark-solid__rrect-80__rest               calibration native  0.4739  0.2467  0.0521  0.0325  0.0617  0.2316  0.2814  0.2858  0.2814  0.2469  0.0536  0.0318  0.0626  0.2318  0.2772  0.2908  0.2802    9.13      NW  0.109
dark-solid__rrect-ml__rest               calibration native  0.4910  0.2446  0.0588  0.0376  0.0677  0.2301  0.2770  0.2829  0.2826  0.2446  0.0588  0.0376  0.0677  0.2301  0.2772  0.2829  0.2826    7.53      SE  0.133
dark-solid__rrect-md-clear20__rest       calibration native  0.3349 -0.3232 -0.3232 -0.3232 -0.3232  0.0673  0.2937  0.1448  0.1448  0.1448  0.1448  0.1448  0.2878  0.1493 -0.3232 -0.3232 -0.3232     inf     ESE -1.100

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/packages/calibration/results/2026-09-10-w26-heavy-width/g2/canonical-reads/apple-macos-26.5-2x-light-standard-webgpu-before-angular.json
